time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
2520,2.5481444993194007,2.5479374151202197,2.5472675749260514,2.5459830247740007,2.5438105625540977,2.54032802139821,2.5349303339206415,2.5267950523484672,2.5148553736277135,2.4977902756937267,2.4740421460874833,2.4418706450201899,2.3994476978561425,2.3449923361484251,2.2769363465207997,2.194104224814152,2.0958851827598011,1.9823730502923447,1.8544529295960221,1.7138222632790945,1.5629287769347238
2580,2.5477378250700382,2.5474995330591081,2.5467325031880401,2.545274369754861,2.5428356378350951,2.5389738222965583,2.5330625178033435,2.5242612184731117,2.5114938047865474,2.4934447603403207,2.4685825191755901,2.4352173673102886,2.3915974026869939,2.3360401794132621,2.2670906052224811,2.1836891744402585,2.0853299085918051,1.9721863277992617,1.8451859576032414,1.706012512633639,1.5569903884217913
2640,2.5472657675675365,2.5469936514917522,2.546121708404681,2.5444775866771416,2.54175636067355,2.5374966980736993,2.5310530719562725,2.5215698935890623,2.5079652737623483,2.4889328907421788,2.4629704066560199,2.4284406375705814,2.3836677606210799,2.3270652941541994,2.2572862037081989,2.1733798817660008,2.0749368609453267,1.962200909540023,1.8361275169924047,1.6983687029596473,1.5512059093165322
2700,2.5467219128730818,2.5464133876430415,2.5454289342571967,2.5435867326029662,2.5405674170836674,2.5358924099815683,2.5288993672172273,2.5187205904470211,2.5042718355055813,2.484259380895371,2.4572128693827127,2.421549013381775,2.3756673951716061,2.318074408410578,2.2475256469948142,2.1631721623736202,2.064692516238952,1.9523912110238095,1.8272461948877963,1.6908993461228667,1.5455900916780581
2760,2.5460997598257724,2.5457522963564285,2.5446479331736551,2.5425959798659288,2.539263729988507,2.5341570609005366,2.5265991584436716,2.5157131281829672,2.5004155912371733,2.4794285014914723,2.4513158154793357,2.4145491041183824,2.3676024451249433,2.3090721117515729,2.2378113871491112,2.1530664985252184,2.0545966918371539,1.9427612479045557,1.8185594362019075,1.6836110069135248,1.5400411071424691
2820,2.5453927588765528,2.5450039051721083,2.5437724892205456,2.5414996163962549,2.5378404264188212,2.532287026212785,2.5241505005553346,2.5125476105234688,2.4963989048120547,2.4744448529145888,2.4452858004969515,2.4074489364869365,2.3594818462424012,2.3000677426269083,2.2281527745527567,2.1430720438642274,2.0446586548161112,1.933320092976837,1.8100665327207934,1.6764721500789455,1.5345526409570134
2880,2.5445943540586962,2.5441617565903072,2.542796462648603,2.5402920992776048,2.5362929160108449,2.5302790870741445,2.5215519815903145,2.5092248090699183,2.4922249600011122,2.4693140274286915,2.4391305284716003,2.4002577067807911,2.3513153364783217,2.2910702994901091,2.2185564976846983,2.133191418346029,2.0348746590740943,1.9240531023088132,1.8017373789840834,1.6694599191925088,1.5292013238838271
2940,2.543698064452856,2.5432194907115813,2.5417138757629618,2.5389681443858096,2.5346169801007252,2.5281305023966603,2.5188027353204379,2.5057460287342961,2.4878973230507735,2.4640416323184637,2.4328570370442204,2.3929828511540325,2.3431093424334244,2.2820835690431762,2.2090221200715732,2.1234186760813003,2.0252324396147237,1.9149433055800391,1.7935628444917908,1.6625976112915044,1.5239409072733883
3000,2.5426975491286745,2.5421709057796655,2.5405189585441907,2.5375227414300756,2.5328087324623088,2.5258388826352904,2.5159021914546456,2.502112711185978,2.4834194291516041,2.45863281360465,2.426471644755797,2.3856311646872896,2.3348704755982537,2.2731136010675499,2.1995552130575846,2.1137594942735793,2.0157392174058959,1.9060027644051363,1.7855584754730445,1.6558635792675214,1.5187086841922237
3060,2.5415866319799991,2.5410099793564531,2.5392061599237667,2.5359511533811556,2.5308646154948415,2.5234022126341036,2.5128501910131811,2.498326758050978,2.4787952769042052,2.4530934924001988,2.4199817910400849,2.3782109707386017,2.3266070757306188,2.2641676232305001,2.190160492501493,2.104214609349798,2.0063905214325253,1.8972192489414028,1.7776987418783556,1.6492411197941328,1.5135724522961704
3120,2.5403593640224336,2.5397309318852215,2.5377702159032105,2.5342489940488937,2.5287814922094896,2.5208189562715821,2.5096470797889521,2.4943905412132819,2.4740292028573503,2.4474296486375864,2.4133944958983164,2.3707294675169881,2.318325474854376,2.2552500087692602,2.180839419114081,2.0947818368493389,1.9971796159664124,1.8885806353578978,1.7699701376860997,1.6427247208946936,1.5085767512482244
3180,2.5390100875180259,2.5383282869322352,2.5362061970787826,2.5324122508267131,2.526556626887698,2.5180879714364117,2.5062935292826327,2.4903066024298002,2.4691254433159098,2.4416467462574389,2.4067156548354594,2.3631918484093153,2.3100287261201107,2.2463600223256752,2.1715857767462872,2.0854480262495247,1.9880860205487134,1.8800622087058547,1.7623564381935877,1.6363398116868368,1.5037342261110807
3240,2.5375334510267731,2.5367968794179374,2.5345094954481535,2.5304372325391338,2.5241875714863888,2.5152083058042081,2.5027902058180276,2.4860771582132339,2.4640874553172232,2.4357489180888487,2.3999493058207855,2.3556012158201987,2.301718316065676,2.2374973135154881,2.1623979310357395,2.0762119502717993,1.9791124974076015,1.8716774764689961,1.7548862683783593,1.6300901861964148,1.4989462212839908
